Species,Common name,Species Taxonomy ID,Taxonomic Lineage,Assembly name,NCBI accession / source,contig N50 (bp),scaffold N50 (bp),reference
Apteryx owenii,little spotted kiwi,8824,Aves; Palaeognathae; Apterygiformes; Apterygidae; Apteryx,HLaptOwe1,GCA_003342965.1,138403,1622467,chicken
Apteryx rowi,Okarito brown kiwi,308060,Aves; Palaeognathae; Apterygiformes; Apterygidae; Apteryx,HLaptRow1,GCF_003343035.1,129376,1672276,chicken
Aquila chrysaetos chrysaetos,golden eagle,223781,Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Aquila; Aquila chrysaetos,HLaquChrChr3,GCA_900496995.3,21924221,46934974,chicken
Ara ararauna,blue-and-yellow macaw,9226,Aves; Neognathae; Psittaciformes; Psittacidae; Ara,HLaraAra1,GCA_010014805.1,128137,2859019,chicken
Ara chloropterus,red-and-green macaw,176013,Aves; Neognathae; Psittaciformes; Psittacidae; Ara,HLaraChl1,GCA_010014725.1,1535524,33226762,chicken
Ara glaucogularis,Blue-throated macaw,303304,Aves; Neognathae; Psittaciformes; Psittacidae; Ara,HLaraGla2,GCA_013433245.1,11243935,63877199,chicken
Ara macao,Scarlet macaw,176014,Aves; Neognathae; Psittaciformes; Psittacidae; Ara,araMac1,GCA_000400695.1,4399,15974,chicken
Ara militaris,military macaw,57237,Aves; Neognathae; Psittaciformes; Psittacidae; Ara,HLaraMil1,GCA_010015965.1,177519,4054913,chicken
Ara rubrogenys,red-fronted macaw,467030,Aves; Neognathae; Psittaciformes; Psittacidae; Ara,HLaraRub1,GCA_917880015.2,46382249,46382249,chicken
Aramus guarauna,limpkin,54356,Aves; Neognathae; Gruiformes; Aramidae; Aramus,HLaraGua1,GCA_013400195.1,62981,810609,chicken
Aratinga weddellii,-,190661,Aves; Neognathae; Psittaciformes; Psittacidae; Aratinga,HLaraWed1,GCA_009867205.1,124592,9081201,chicken
Ardeotis kori,-,89386,Aves; Neognathae; Gruiformes; Otididae; Ardeotis,HLardKor1,GCA_013396375.1,53368,639944,chicken
Arenaria interpres,ruddy turnstone,54971,Aves; Neognathae; Charadriiformes; Scolopacidae; Arenaria,HLareInt1,GCA_013399435.1,48252,181329,chicken
Artemisiospiza belli,sage sparrow,198938,Aves; Neognathae; Passeriformes; Passerellidae; Artemisiospiza,HLartBel1,GCA_021963965.1,8253817,17082054,chicken
Asarcornis scutulata,-,75869,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Asarcornis,HLasaScu1,GCA_013398475.1,91211,5635001,chicken
Athene cunicularia,burrowing owl,194338,Aves; Neognathae; Strigiformes; Strigidae; Athene,HLathCun1,GCF_003259725.1,64091,42147404,chicken
Aythya fuligula,tufted duck,219594,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Aythyinae; Aythya,HLaytFul1,GCF_009819795.1,17816505,85905639,chicken
Balearica regulorum gibbericeps,East African grey crowned-crane,100784,Aves; Neognathae; Gruiformes; Gruidae; Balearica; Balearica regulorum,HLbalRegGib2,GCA_011004875.1,23326060,82577926,chicken
Baryphthengus martii,-,176943,Aves; Neognathae; Coraciiformes; Momotidae; Baryphthengus,HLbarMar1,GCA_013396935.1,70136,225352,chicken
Bombycilla garrulus,bohemian waxwing,125297,Aves; Neognathae; Passeriformes; Bombycillidae; Bombycilla,HLbomGar1,GCA_013400315.1,64047,615058,chicken
Brachypodius atriceps,black-headed bulbul,182895,Aves; Neognathae; Passeriformes; Sylvioidea; Pycnonotidae; Brachypodius,HLbraAtr1,GCA_013398615.1,85408,17537833,chicken
Brachypteracias leptosomus,short-legged ground-roller,135165,Aves; Neognathae; Coraciiformes; Brachypteraciidae; Brachypteracias,HLbraLep1,GCA_013401335.1,40314,130665,chicken
Branta canadensis,Canada goose,8853,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Branta,HLbraCan1,GCA_006130075.1,220846,15516710,chicken
Bubo bubo,Eurasian eagle-owl,30461,Aves; Neognathae; Strigiformes; Strigidae; Bubo,HLbubBub1,GCA_010303855.1,37091,8019613,chicken
Bubo scandiacus,Snowy owl,371907,Aves; Neognathae; Strigiformes; Strigidae; Bubo,HLbubSca1,GCA_017315185.1,196832,19757310,chicken
Bucco capensis,collared puffbird,135168,Aves; Neognathae; Galbuliformes; Bucconidae; Bucco,HLbucCap1,GCA_013396975.1,66968,338467,chicken
Buceros rhinoceros silvestris,Rhinoceros hornbill,175836,Aves; Neognathae; Bucerotiformes; Bucerotidae; Buceros; Buceros rhinoceros,bucRhi1,GCF_000710305.1,14587,53203,chicken
Bucorvus abyssinicus,Abyssinian ground-hornbill,153643,Aves; Neognathae; Bucerotiformes; Bucorvidae; Bucorvus,HLbucAby1,GCA_009769605.1,12039478,40274051,chicken
Burhinus bistriatus,-,240201,Aves; Neognathae; Charadriiformes; Burhinidae; Burhinus,HLburBis1,GCA_013397275.1,46939,409133,chicken
Burhinus oedicnemus,Eurasian thick-knee,85105,Aves; Neognathae; Charadriiformes; Burhinidae; Burhinus,HLburOed1,GCA_008921705.1,93678,1937420,chicken
Buteo japonicus,-,224669,Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Buteo,HLbutJap1,GCA_010312235.1,36723,7468869,chicken
Butorides virescens,green heron,110671,Aves; Neognathae; Pelecaniformes; Ardeidae; Butorides,HLbutVir1,GCA_017310255.1,222988,222988,chicken
Cacatua leadbeateri,Major Mitchell's cockatoo,471713,Aves; Neognathae; Psittaciformes; Cacatuidae; Cacatua,HLcacLea1,GCA_010015045.1,516623,7891727,chicken
Cairina moschata domestica,Muscovy Duck (domestic type),1240228,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Cairina; Cairina moschata,HLcaiMos1,GCA_009194515.1,89133,2417665,chicken
Calcarius ornatus,-,198940,Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Emberizinae; Emberizini; Calcarius,HLcalOrn1,GCA_013397715.1,52433,1242718,chicken
Calidris pugnax,ruff,198806,Aves; Neognathae; Charadriiformes; Scolopacidae; Calidris,HLcalPug1,GCF_001431845.1,109237,10060041,chicken
Calidris pygmaea,Spoon-billed sandpiper,425635,Aves; Neognathae; Charadriiformes; Scolopacidae; Calidris,HLcalPyg1,GCA_003697955.1,189165,3136279,chicken
Callaeas wilsoni,North Island kokako,1347786,Aves; Neognathae; Passeriformes; Corvoidea; Callaeidae; Callaeas,HLcalWil1,GCA_013398955.1,118426,133026,chicken
Callipepla squamata,scaled quail,9009,Aves; Neognathae; Galloanserae; Galliformes; Odontophoridae; Callipepla,HLcalSqu1,GCA_002218305.1,154132,1035259,chicken
Caloenas nicobarica,Nicobar pigeon,187106,Aves; Neognathae; Columbiformes; Columbidae; Caloenas,HLcalNic1,GCA_013398195.1,72340,20885367,chicken
Calonectris borealis,Cory's shearwater,1323832,Aves; Neognathae; Procellariiformes; Procellariidae; Calonectris,HLcalBor1,GCA_013401115.1,63034,65340,chicken
Calypte anna,Anna's hummingbird,9244,Aves; Neognathae; Caprimulgimorphae; Apodiformes; Trochilidae; Calypte,HLcalAnn5,GCF_003957555.1,14522327,74081004,chicken
Calyptomena viridis,green broadbill,135972,Aves; Neognathae; Passeriformes; Eurylaimidae; Calyptomena,HLcalVir1,GCA_013390005.1,40187,169242,chicken
Camarhynchus parvulus,-,87175,Aves; Neognathae; Passeriformes; Thraupidae; Camarhynchus,HLcamPar1,GCF_901933205.1,16035651,70356807,chicken
Campylorhamphus procurvoides,-,190295,Aves; Neognathae; Passeriformes; Dendrocolaptidae; Campylorhamphus,HLcamPro1,GCA_013396655.1,152160,1025016,chicken
Caprimulgus europaeus,Eurasian nightjar,111811,Aves; Neognathae; Caprimulgimorphae; Caprimulgiformes; Caprimulgidae; Caprimulginae; Caprimulgus,HLcapEur1,GCA_907165065.1,30622946,82614289,chicken
Cardinalis cardinalis,northern cardinal,98964,Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Emberizinae; Cardinalini; Cardinalis,HLcarCar1,GCA_014549065.1,133919,3635514,chicken
Cariama cristata,Red-legged seriema,54380,Aves; Neognathae; Cariamiformes; Cariamidae; Cariama,HLcarCri1,GCA_009819825.1,13514148,30176635,chicken
Casuarius casuarius,southern cassowary,8787,Aves; Palaeognathae; Casuariiformes; Casuariidae; Casuarius,HLcasCas1,GCA_003342895.1,165721,3704890,chicken
Casuarius casuarius,southern cassowary,8787,Aves; Palaeognathae; Casuariiformes; Casuariidae; Casuarius,HLcasCas2,GCA_013396415.1,88589,5669588,chicken
Catharus bicknelli,-,159580,Aves; Neognathae; Passeriformes; Turdidae; Catharus,HLcatBic1,GCA_021437205.1,28060,982944,chicken
Catharus fuscescens,veery,159581,Aves; Neognathae; Passeriformes; Turdidae; Catharus,HLcatFus1,GCA_013398975.1,56061,276328,chicken
Catharus minimus,-,159579,Aves; Neognathae; Passeriformes; Turdidae; Catharus,HLcatMin1,GCA_021437185.1,38559,1604676,chicken
Catharus ustulatus,Swainson's thrush,91951,Aves; Neognathae; Passeriformes; Turdidae; Catharus,HLcatUst1,GCF_009819885.1,4908935,63528738,chicken
Centrocercus minimus,Gunnison sage-grouse,211967,Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Tetraoninae; Centrocercus,HLcenMin1,GCA_005890655.1,3500535,3849570,chicken
Centrocercus urophasianus,Greater sage-grouse,9002,Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Tetraoninae; Centrocercus,HLcenUro1,GCF_019232065.1,177390,34618776,chicken
Centropus bengalensis,lesser coucal,1463675,Aves; Neognathae; Cuculiformes; Centropidae; Centropus,HLcenBen1,GCA_013400815.1,34951,1149962,chicken
Centropus unirufus,-,1118519,Aves; Neognathae; Cuculiformes; Centropidae; Centropus,HLcenUni1,GCA_013397695.1,79469,2055974,chicken
Cephalopterus ornatus,amazonian umbrellabird,114276,Aves; Neognathae; Passeriformes; Cotingidae; Cephalopterus,HLcepOrn1,GCA_013396775.1,75604,292884,chicken
Cepphus grylle,-,28697,Aves; Neognathae; Charadriiformes; Alcidae; Cepphus,HLcepGry1,GCA_013401065.1,39689,16187446,chicken
Cercotrichas coryphoeus,Karoo scrub-robin,614051,Aves; Neognathae; Passeriformes; Muscicapidae; Cercotrichas,HLcerCor1,GCA_013398595.1,55393,954946,chicken
Certhia americana,-,186443,Aves; Neognathae; Passeriformes; Certhiidae; Certhiinae; Certhia,HLcerAme1,GCA_018697195.1,143071,64356598,chicken
Certhia brachydactyla,short-toed tree-creeper,73330,Aves; Neognathae; Passeriformes; Certhiidae; Certhiinae; Certhia,HLcerBra1,GCA_013400355.1,76317,865393,chicken
Certhia familiaris,Eurasian tree-creeper,73333,Aves; Neognathae; Passeriformes; Certhiidae; Certhiinae; Certhia,HLcerFam1,GCA_013398575.1,48850,857734,chicken
Cettia cetti,-,68486,Aves; Neognathae; Passeriformes; Sylvioidea; Sylviidae; Acrocephalinae; Cettia,HLcetCet1,GCA_013401135.1,62878,64977,chicken
Ceuthmochares aereus,-,1961834,Aves; Neognathae; Cuculiformes; Cuculidae; Ceuthmochares,HLceuAer1,GCA_013398935.1,29269,163031,chicken
Chaetops frenatus,Rufous rock-jumper,221966,Aves; Neognathae; Passeriformes; Picathartidae; Chaetops,HLchaFre1,GCA_013400775.1,34663,250297,chicken
Chaetorhynchus papuensis,pygmy drongo,254446,Aves; Neognathae; Passeriformes; Rhipiduridae; Chaetorhynchus,HLchaPap1,GCA_013396525.1,96574,712200,chicken
Charadrius alexandrinus,Kentish plover,50392,Aves; Neognathae; Charadriiformes; Charadriidae; Charadrius,HLchaAle1,GCA_008711295.1,129786,3290793,chicken
Charadrius vociferus,killdeer,50402,Aves; Neognathae; Charadriiformes; Charadriidae; Charadrius,chaVoc2,GCF_000708025.1,39278,3657050,chicken
Chauna torquata,southern screamer,30388,Aves; Neognathae; Galloanserae; Anseriformes; Anhimidae; Chauna,HLchaTor1,GCA_013399475.1,39550,232486,chicken
Chionis minor,black-faced sheathbill,227182,Aves; Neognathae; Charadriiformes; Chionididae; Chionis,HLchiMin1,GCA_013398295.1,128427,592381,chicken
Chiroxiphia lanceolata,lance-tailed manakin,296741,Aves; Neognathae; Passeriformes; Pipridae; Chiroxiphia,HLchiLan1,GCF_009829145.1,18496167,75608808,chicken
Chlamydotis macqueenii,Macqueen's bustard,187382,Aves; Neognathae; Gruiformes; Otididae; Chlamydotis,chlUnd1,GCF_000695195.1,21641,45221,chicken
Chlamydotis undulata undulata,Houbara bustard,187383,Aves; Neognathae; Gruiformes; Otididae; Chlamydotis; Chlamydotis undulata,HLchlUndUnd1,GCA_003400225.2,90121,3265787,chicken
Chloroceryle aenea,American pygmy kingfisher,176938,Aves; Neognathae; Coraciiformes; Cerylidae; Chloroceryle,HLchlAen1,GCA_013399075.1,34835,324840,chicken
Chloropsis hardwickii,-,667144,Aves; Neognathae; Passeriformes; Corvoidea; Irenidae; Chloropsis,HLchlHar1,GCA_013390065.1,39381,572698,chicken
Chordeiles acutipennis,lesser nighthawk,118183,Aves; Neognathae; Caprimulgimorphae; Caprimulgiformes; Caprimulgidae; Chordeilinae; Chordeiles,HLchoAcu1,GCA_013399635.1,40733,630207,chicken
Chroicocephalus maculipennis,brown-hooded gull,287016,Aves; Neognathae; Charadriiformes; Laridae; Chroicocephalus,HLchrMac1,GCA_013397655.1,39391,476221,chicken
Chrysolophus pictus,golden pheasant,9089,Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Chrysolophus,HLchrPic1,GCA_003413605.1,38217,1560063,chicken
Chunga burmeisteri,Black-legged seriema,1352770,Aves; Neognathae; Cariamiformes; Cariamidae; Chunga,HLchuBur1,GCA_013396505.1,72519,1413557,chicken
Cicinnurus regius,king bird of paradise,36263,Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Cicinnurus,HLcicReg1,GCA_003713305.1,465502,3187586,chicken
Ciconia maguari,-,52777,Aves; Neognathae; Ciconiiformes; Ciconiidae; Ciconia,HLcicMag1,GCA_013399255.1,66040,367223,chicken
Ciconia maguari,-,52777,Aves; Neognathae; Ciconiiformes; Ciconiidae; Ciconia,HLcicMag2,GCA_017639555.1,23757428,85554746,chicken
Cinclus mexicanus,-,161649,Aves; Neognathae; Passeriformes; Cinclidae; Cinclus,HLcinMex1,GCA_013399935.1,44268,213297,chicken
Circaetus pectoralis,black-chested snake-eagle,321084,Aves; Neognathae; Accipitriformes; Accipitridae; Accipitrinae; Circaetus,HLcirPec1,GCA_013399555.1,28952,1302531,chicken
Cisticola juncidis,-,52622,Aves; Neognathae; Passeriformes; Sylvioidea; Cisticolidae; Cisticola,HLcisJun1,GCA_013400215.1,74140,873777,chicken
Cnemophilus loriae,Loria's bird-of-paradise,254448,Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Cnemophilus,HLcneLor1,GCA_013397755.1,122939,1426893,chicken
Cochlearius cochlearius,boat-billed heron,110676,Aves; Neognathae; Pelecaniformes; Ardeidae; Cochlearius,HLcocCoc1,GCA_013396365.1,62809,1662124,chicken
Colaptes auratus,northern flicker,51355,Aves; Neognathae; Piciformes; Picidae; Colaptes,HLcolAur1,GCA_015227895.1,826960,43947546,chicken
Colinus virginianus,northern bobwhite,9014,Aves; Neognathae; Galloanserae; Galliformes; Odontophoridae; Colinus,HLcolVir2,GCA_008692595.1,136674,66809948,chicken
Colius striatus,speckled mousebird,57412,Aves; Neognathae; Coliiformes; Coliidae; Colius,colStr1,GCF_000690715.1,25860,46063,chicken
Coloeus monedula,jackdaw,30423,Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Coloeus,HLcolMon1,GCA_013407035.1,23262489,73777161,chicken
Columba janthina nitens,Japanese wood-pigeon,985682,Aves; Neognathae; Columbiformes; Columbidae; Columba; Columba janthina,HLcolJanNit1,GCA_014362705.1,109998,187831,chicken
Columba livia,rock pigeon,8932,Aves; Neognathae; Columbiformes; Columbidae; Columba,HLcolLiv2,GCA_000337935.2,26627,14233134,chicken
Columbina picui,picui ground-dove,115618,Aves; Neognathae; Columbiformes; Columbidae; Columbina,HLcolPic1,GCA_013397635.1,24994,616882,chicken
Copsychus sechellarum,-,797021,Aves; Neognathae; Passeriformes; Muscicapidae; Copsychus,HLcopSec1,GCA_013398635.1,109076,11085488,chicken
Corapipo altera,White-ruffed manakin,415028,Aves; Neognathae; Passeriformes; Pipridae; Corapipo,HLcorAlt1,GCF_003945725.1,262501,12385833,chicken
Corvus brachyrhynchos,American crow,85066,Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus,corBra1,GCF_000691975.1,29093,6953989,chicken
Corvus cornix cornix,hooded crow,932674,Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus; Corvus cornix,HLcorCor3,GCF_000738735.2,97330,21080102,chicken
Corvus cornix cornix,hooded crow,932674,Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus; Corvus cornix,HLcorCorCor4,GCA_000738735.4,7830412,74117537,chicken
Corvus hawaiiensis,hawaiian crow,134902,Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus,HLcorHaw1,GCA_003402825.1,4530643,4530643,chicken
Corvus hawaiiensis,hawaiian crow,134902,Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus,HLcorHaw2,GCA_020740725.1,23064755,76278832,chicken
Corvus kubaryi,Mariana crow,68294,Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus,HLcorKub1,GCF_017639235.1,211131,17891236,chicken
Corvus macrorhynchos,Large-billed crow,36249,Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus,HLcorMac1,GCA_014363025.1,52265,133802,chicken
Corvus moneduloides,New Caledonian crow,1196302,Aves; Neognathae; Passeriformes; Corvoidea; Corvidae; Corvus,HLcorMon1,GCF_009650955.1,11524098,74699841,chicken
Corythaixoides concolor,grey go-away-bird,103956,Aves; Neognathae; Musophagiformes; Musophagidae; Corythaixoides,HLcorCon1,GCA_013399495.1,52683,1108645,chicken
Coturnix japonica,Japanese quail,93934,Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Perdicinae; Coturnix,HLcotJap2,GCA_000511605.2,32115,3851064,chicken
Coturnix japonica,Japanese quail,93934,Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Perdicinae; Coturnix,cotJap2,GCF_001577835.1,511217,2975000,chicken
Crossoptilon mantchuricum,brown eared-pheasant,9097,Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Crossoptilon,HLcroMan1,GCA_019593555.1,157489,3632751,chicken
Crotophaga sulcirostris,groove-billed ani,33598,Aves; Neognathae; Cuculiformes; Crotophagidae; Crotophaga,HLcroSul1,GCA_013397455.1,83601,1692907,chicken
Crypturellus cinnamomeus,-,889801,Aves; Palaeognathae; Tinamiformes; Tinamidae; Crypturellus,HLcryCin1,GCA_003342915.1,60620,2401919,chicken
Crypturellus soui,-,458187,Aves; Palaeognathae; Tinamiformes; Tinamidae; Crypturellus,HLcrySou1,GCA_013389845.1,79009,846765,chicken
Crypturellus undulatus,-,48396,Aves; Palaeognathae; Tinamiformes; Tinamidae; Crypturellus,HLcryUnd1,GCA_013389825.1,99502,387774,chicken
Cuculus canorus,common cuckoo,55661,Aves; Neognathae; Cuculiformes; Cuculidae; Cuculus,HLcucCan2,GCA_017976375.1,20797936,78325852,chicken
Cuculus canorus,common cuckoo,55661,Aves; Neognathae; Cuculiformes; Cuculidae; Cuculus,cucCan1,GCF_000709325.1,38137,2989832,chicken
Cyanistes caeruleus,blue tit,156563,Aves; Neognathae; Passeriformes; Paridae; Cyanistes,HLcyaCae1,GCF_002901205.1,105778,16846143,chicken
Cyanoderma ruficeps,rufous-capped babbler,181631,Aves; Neognathae; Passeriformes; Sylvioidea; Timaliidae; Cyanoderma,HLcyaRuf1,GCA_008694505.1,194313,15643638,chicken
Cygnus atratus,black swan,8868,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Cygnus,HLcygAtr1,GCF_013377495.1,12814145,12814145,chicken
Cygnus buccinator,trumperter swan,48397,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Cygnus,HLcygBuc1,GCA_019232035.1,156610,38071269,chicken
Cygnus olor,mute swan,8869,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Cygnus,HLcygOlo1,GCA_009769625.1,7743145,81035313,chicken
Daphoenositta chrysoptera,varied sittella,254528,Aves; Neognathae; Passeriformes; Corvoidea; Pachycephalidae; Daphoenositta,HLdapChr1,GCA_013397915.1,79485,804295,chicken
Dasyornis broadbenti,rufous bristle-bird,243059,Aves; Neognathae; Passeriformes; Meliphagoidea; Dasyornithidae; Dasyornis,HLdasBro1,GCA_013397935.1,67799,1415013,chicken
Dicrurus megarhynchus,-,450177,Aves; Neognathae; Passeriformes; Corvoidea; Dicruridae; Dicrurus,HLdicMeg1,GCA_013399195.1,143784,1068420,chicken
Diglossa brunneiventris,black-throated flowerpiercer,547948,Aves; Neognathae; Passeriformes; Thraupidae; Diglossa,HLdigBru1,GCA_019023105.1,7273401,67281049,chicken
Diphyllodes magnificus,-,28716,Aves; Neognathae; Passeriformes; Corvoidea; Paradisaeidae; Diphyllodes,HLdipMag1,GCA_003713285.1,241639,6488714,chicken
Donacobius atricapilla,-,237420,Aves; Neognathae; Passeriformes; Mimidae; Donacobius,HLdonAtr1,GCA_013397315.1,64871,542855,chicken
Dromaius novaehollandiae,emu,8790,Aves; Palaeognathae; Casuariiformes; Dromaiidae; Dromaius,HLdroNov1,GCF_003342905.1,172131,3305683,chicken
Dromaius novaehollandiae,emu,8790,Aves; Palaeognathae; Casuariiformes; Dromaiidae; Dromaius,HLdroNov2,GCA_016128335.1,14094718,82723677,chicken
Dromas ardeola,-,458190,Aves; Neognathae; Charadriiformes; Dromadidae; Dromas,HLdroArd1,GCA_013398915.1,40991,314166,chicken
Drymodes brunneopygia,-,626378,Aves; Neognathae; Passeriformes; Petroicidae; Drymodes,HLdryBru1,GCA_013400955.1,79910,443364,chicken
Dyaphorophyia castanea,-,1160851,Aves; Neognathae; Passeriformes; Corvoidea; Platysteiridae; Dyaphorophyia,HLdyaCas1,GCA_013397175.1,84600,719154,chicken
Eclectus roratus,Eclectus parrot,176024,Aves; Neognathae; Psittaciformes; Psittacidae; Eclectus,HLeclRor1,GCA_011763535.1,86912,3064750,chicken
Edolisoma coerulescens,-,2585810,Aves; Neognathae; Passeriformes; Corvoidea; Campephagidae; Edolisoma,HLedoCoe1,GCA_013397115.1,131175,1336768,chicken
Egretta garzetta,little egret,188379,Aves; Neognathae; Pelecaniformes; Ardeidae; Egretta,egrGar1,GCF_000687185.1,29019,3067157,chicken
Emberiza fucata,-,337179,Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Emberizinae; Emberizini; Emberiza,HLembFuc1,GCA_013398835.1,19687,892245,chicken
Entomyzon cyanotis,-,266349,Aves; Neognathae; Passeriformes; Meliphagoidea; Meliphagidae; Entomyzon,HLentCya1,GCA_020137895.1,202860,4504408,chicken
Eolophus roseicapillus,galah,176039,Aves; Neognathae; Psittaciformes; Cacatuidae; Eolophus,HLeolRos1,GCA_013397615.1,21735,418393,chicken
Eopsaltria australis,eastern yellow robin,44318,Aves; Neognathae; Passeriformes; Petroicidae; Eopsaltria,HLeopAus1,GCA_003426825.1,641411,987278,chicken
Eopsaltria australis,eastern yellow robin,44318,Aves; Neognathae; Passeriformes; Petroicidae; Eopsaltria,HLeopAus2,DNA Zoo Consortium,1482134,111210322,chicken
Eremophila alpestris peregrina,horned lark,2668079,Aves; Neognathae; Passeriformes; Sylvioidea; Alaudidae; Eremophila; Eremophila alpestris,HLereAlp1,GCA_009792885.1,193817,9421811,chicken
Erithacus rubecula,European robin,37610,Aves; Neognathae; Passeriformes; Turdidae; Erithacus,HLeriRub1,GCA_903797595.1,5585877,46560559,chicken
Erpornis zantholeuca,-,1112836,Aves; Neognathae; Passeriformes; Sylvioidea; Timaliidae; Erpornis,HLerpZan1,GCA_013400515.1,45331,176063,chicken
Erythrocercus mccallii,-,107208,Aves; Neognathae; Passeriformes; Corvoidea; Dicruridae; Erythrocercus,HLeryMcc1,GCA_013397435.1,83996,346475,chicken
Erythrura gouldiae,Gouldian finch,44316,Aves; Neognathae; Passeriformes; Passeroidea; Estrildidae; Erythrura,HLeryGou1,GCA_003676055.1,137954,17126938,chicken
Eubucco bourcierii,red-headed barbet,91767,Aves; Neognathae; Piciformes; Ramphastidae; Eubucco,HLeubBou1,GCA_013396675.1,26549,208022,chicken
Eudromia elegans,elegant crested-tinamou,8805,Aves; Palaeognathae; Tinamiformes; Tinamidae; Eudromia,HLeudEle1,GCA_003342815.1,126242,3261870,chicken
Eudyptes chrysocome,Rockhopper penguin,79626,Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes,HLeudChr1,GCA_010085355.1,80552,1949323,chicken
Eudyptes chrysolophus,Macaroni penguin,79627,Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes,HLeudChy1,GCA_010084205.1,215030,13794837,chicken
Eudyptes filholi,Southern rockhopper penguin,1419345,Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes,HLeudFil1,GCA_010085365.1,86112,6429221,chicken
Eudyptes moseleyi,Northern rockhopper penguin,2495534,Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes,HLeudMos1,GCA_010082375.1,42318,2252023,chicken
Eudyptes pachyrhynchus,Fiordland penguin,37080,Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes,HLeudPac1,GCA_010085335.1,58247,8912950,chicken
Eudyptes robustus,Snares penguin,345251,Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes,HLeudRob1,GCA_010085315.1,83286,367542,chicken
Eudyptes schlegeli,Royal penguin,57240,Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes,HLeudSch1,GCA_010080425.1,42596,1894246,chicken
Eudyptes sclateri,Erect-crested penguin,92688,Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptes,HLeudScl1,GCA_010078445.1,83178,1921244,chicken
Eudyptula albosignata,White-flippered penguin,345258,Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptula,HLeudAlb1,GCA_010080465.1,104210,21866543,chicken
Eudyptula minor,Little blue penguin,37083,Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptula,HLeudMin1,GCA_010080355.1,95403,21127646,chicken
Eudyptula novaehollandiae,Australian little penguin,2052820,Aves; Neognathae; Sphenisciformes; Spheniscidae; Eudyptula,HLeudNov1,GCA_010078495.1,134160,29280209,chicken
Eulacestoma nigropectus,wattled ploughbill,461239,Aves; Neognathae; Passeriformes; Corvoidea; Pachycephalidae; Eulacestoma,HLeulNig1,GCA_013397775.1,75916,1156832,chicken
Eupsittula pertinax,brown-throated parakeet,492513,Aves; Neognathae; Psittaciformes; Psittacidae; Eupsittula,HLeupPer1,GCA_011317185.1,70940,9066519,chicken
Eurypyga helias,sunbittern,54383,Aves; Neognathae; Gruiformes; Eurypygidae; Eurypyga,eurHel1,GCF_000690775.1,24402,47243,chicken
Eurystomus gularis,-,325343,Aves; Neognathae; Coraciiformes; Coraciidae; Eurystomus,HLeurGul1,GCA_013400335.1,57880,197888,chicken
Falco cherrug,Saker falcon,345164,Aves; Neognathae; Falconiformes; Falconidae; Falco,falChe1,GCF_000337975.1,31327,4154532,chicken
Falco naumanni,lesser kestrel,148594,Aves; Neognathae; Falconiformes; Falconidae; Falco,HLfalNau1,GCF_017639655.2,13754753,91761059,chicken
Falco peregrinus,peregrine falcon,8954,Aves; Neognathae; Falconiformes; Falconidae; Falco,HLfalPer2,GCA_012488915.1,88635,194737,chicken
