GenBank	RefSeq	UCSC	Ensembl	Gencode
JH373301.1	NW_003726203.1	chrUn_JH373301	JH373301.1	JH373301.1
JH373302.1	NW_003726204.1	chrUn_JH373302	JH373302.1	JH373302.1
JH373303.1	NW_003726205.1	chrUn_JH373303	JH373303.1	JH373303.1
JH373304.1	NW_003726206.1	chrUn_JH373304	JH373304.1	JH373304.1
JH373305.1	NW_003726207.1	chrUn_JH373305	JH373305.1	JH373305.1
JH373306.1	NW_003726208.1	chrUn_JH373306	JH373306.1	JH373306.1
JH373307.1	NW_003726209.1	chrUn_JH373307	JH373307.1	JH373307.1
JH373308.1	NW_003726211.1	chrUn_JH373308	JH373308.1	JH373308.1
JH373309.1	NW_003726212.1	chrUn_JH373309	JH373309.1	JH373309.1
JH373310.1	NW_003726213.1	chrUn_JH373310	JH373310.1	JH373310.1
JH373311.1	NW_003726214.1	chrUn_JH373311	JH373311.1	JH373311.1
JH373312.1	NW_003726215.1	chrUn_JH373312	JH373312.1	JH373312.1
JH373313.1	NW_003726216.1	chrUn_JH373313	JH373313.1	JH373313.1
JH373314.1	NW_003726220.1	chrUn_JH373314	JH373314.1	JH373314.1
JH373315.1	NW_003726221.1	chrUn_JH373315	JH373315.1	JH373315.1
JH373316.1	NW_003726222.1	chrUn_JH373316	JH373316.1	JH373316.1
JH373317.1	NW_003726223.1	chrUn_JH373317	JH373317.1	JH373317.1
JH373318.1	NW_003726224.1	chrUn_JH373318	JH373318.1	JH373318.1
JH373319.1	NW_003726225.1	chrUn_JH373319	JH373319.1	JH373319.1
JH373320.1	NW_003726226.1	chrUn_JH373320	JH373320.1	JH373320.1
JH373321.1	NW_003726227.1	chrUn_JH373321	JH373321.1	JH373321.1
JH373322.1	NW_003726228.1	chrUn_JH373322	JH373322.1	JH373322.1
JH373323.1	NW_003726229.1	chrUn_JH373323	JH373323.1	JH373323.1
JH373324.1	NW_003726230.1	chrUn_JH373324	JH373324.1	JH373324.1
JH373325.1	NW_003726231.1	chrUn_JH373325	JH373325.1	JH373325.1
JH373326.1	NW_003726232.1	chrUn_JH373326	JH373326.1	JH373326.1
JH373327.1	NW_003726234.1	chrUn_JH373327	JH373327.1	JH373327.1
JH373328.1	NW_003726235.1	chrUn_JH373328	JH373328.1	JH373328.1
JH373329.1	NW_003726236.1	chrUn_JH373329	JH373329.1	JH373329.1
JH373330.1	NW_003726237.1	chrUn_JH373330	JH373330.1	JH373330.1
JH373331.1	NW_003726241.1	chrUn_JH373331	JH373331.1	JH373331.1
JH373332.1	NW_003726242.1	chrUn_JH373332	JH373332.1	JH373332.1
JH373333.1	NW_003726243.1	chrUn_JH373333	JH373333.1	JH373333.1
JH373334.1	NW_003726244.1	chrUn_JH373334	JH373334.1	JH373334.1
JH373335.1	NW_003726246.1	chrUn_JH373335	JH373335.1	JH373335.1
JH373336.1	NW_003726248.1	chrUn_JH373336	JH373336.1	JH373336.1
JH373337.1	NW_003726250.1	chrUn_JH373337	JH373337.1	JH373337.1
JH373338.1	NW_003726251.1	chrUn_JH373338	JH373338.1	JH373338.1
JH373339.1	NW_003726252.1	chrUn_JH373339	JH373339.1	JH373339.1
JH373340.1	NW_003726253.1	chrUn_JH373340	JH373340.1	JH373340.1
JH373341.1	NW_003726254.1	chrUn_JH373341	JH373341.1	JH373341.1
JH373342.1	NW_003726255.1	chrUn_JH373342	JH373342.1	JH373342.1
JH373343.1	NW_003726256.1	chrUn_JH373343	JH373343.1	JH373343.1
JH373344.1	NW_003726257.1	chrUn_JH373344	JH373344.1	JH373344.1
JH373345.1	NW_003726258.1	chrUn_JH373345	JH373345.1	JH373345.1
JH373346.1	NW_003726259.1	chrUn_JH373346	JH373346.1	JH373346.1
JH373347.1	NW_003726260.1	chrUn_JH373347	JH373347.1	JH373347.1
JH373348.1	NW_003726261.1	chrUn_JH373348	JH373348.1	JH373348.1
JH373349.1	NW_003726262.1	chrUn_JH373349	JH373349.1	JH373349.1
JH373350.1	NW_003726263.1	chrUn_JH373350	JH373350.1	JH373350.1
JH373351.1	NW_003726264.1	chrUn_JH373351	JH373351.1	JH373351.1
JH373352.1	NW_003726265.1	chrUn_JH373352	JH373352.1	JH373352.1
JH373353.1	NW_003726267.1	chrUn_JH373353	JH373353.1	JH373353.1
JH373354.1	NW_003726269.1	chrUn_JH373354	JH373354.1	JH373354.1
JH373355.1	NW_003726270.1	chrUn_JH373355	JH373355.1	JH373355.1
JH373356.1	NW_003726271.1	chrUn_JH373356	JH373356.1	JH373356.1
JH373357.1	NW_003726272.1	chrUn_JH373357	JH373357.1	JH373357.1
JH373358.1	NW_003726273.1	chrUn_JH373358	JH373358.1	JH373358.1
JH373359.1	NW_003726275.1	chrUn_JH373359	JH373359.1	JH373359.1
JH373360.1	NW_003726276.1	chrUn_JH373360	JH373360.1	JH373360.1
JH373361.1	NW_003726277.1	chrUn_JH373361	JH373361.1	JH373361.1
JH373362.1	NW_003726278.1	chrUn_JH373362	JH373362.1	JH373362.1
JH373363.1	NW_003726280.1	chrUn_JH373363	JH373363.1	JH373363.1
JH373364.1	NW_003726281.1	chrUn_JH373364	JH373364.1	JH373364.1
JH373365.1	NW_003726282.1	chrUn_JH373365	JH373365.1	JH373365.1
JH373366.1	NW_003726283.1	chrUn_JH373366	JH373366.1	JH373366.1
JH373367.1	NW_003726284.1	chrUn_JH373367	JH373367.1	JH373367.1
JH373368.1	NW_003726285.1	chrUn_JH373368	JH373368.1	JH373368.1
JH373369.1	NW_003726286.1	chrUn_JH373369	JH373369.1	JH373369.1
JH373370.1	NW_003726287.1	chrUn_JH373370	JH373370.1	JH373370.1
JH373371.1	NW_003726288.1	chrUn_JH373371	JH373371.1	JH373371.1
JH373372.1	NW_003726289.1	chrUn_JH373372	JH373372.1	JH373372.1
JH373373.1	NW_003726290.1	chrUn_JH373373	JH373373.1	JH373373.1
JH373374.1	NW_003726291.1	chrUn_JH373374	JH373374.1	JH373374.1
JH373375.1	NW_003726292.1	chrUn_JH373375	JH373375.1	JH373375.1
JH373376.1	NW_003726293.1	chrUn_JH373376	JH373376.1	JH373376.1
JH373377.1	NW_003726294.1	chrUn_JH373377	JH373377.1	JH373377.1
JH373378.1	NW_003726295.1	chrUn_JH373378	JH373378.1	JH373378.1
JH373379.1	NW_003726296.1	chrUn_JH373379	JH373379.1	JH373379.1
JH373380.1	NW_003726297.1	chrUn_JH373380	JH373380.1	JH373380.1
JH373381.1	NW_003726298.1	chrUn_JH373381	JH373381.1	JH373381.1
JH373382.1	NW_003726300.1	chrUn_JH373382	JH373382.1	JH373382.1
JH373383.1	NW_003726301.1	chrUn_JH373383	JH373383.1	JH373383.1
JH373384.1	NW_003726302.1	chrUn_JH373384	JH373384.1	JH373384.1
JH373385.1	NW_003726304.1	chrUn_JH373385	JH373385.1	JH373385.1
JH373386.1	NW_003726305.1	chrUn_JH373386	JH373386.1	JH373386.1
JH373387.1	NW_003726306.1	chrUn_JH373387	JH373387.1	JH373387.1
JH373388.1	NW_003726307.1	chrUn_JH373388	JH373388.1	JH373388.1
JH373389.1	NW_003726308.1	chrUn_JH373389	JH373389.1	JH373389.1
JH373390.1	NW_003726309.1	chrUn_JH373390	JH373390.1	JH373390.1
JH373391.1	NW_003726310.1	chrUn_JH373391	JH373391.1	JH373391.1
JH373392.1	NW_003726311.1	chrUn_JH373392	JH373392.1	JH373392.1
JH373393.1	NW_003726312.1	chrUn_JH373393	JH373393.1	JH373393.1
JH373394.1	NW_003726313.1	chrUn_JH373394	JH373394.1	JH373394.1
JH373395.1	NW_003726314.1	chrUn_JH373395	JH373395.1	JH373395.1
JH373396.1	NW_003726316.1	chrUn_JH373396	JH373396.1	JH373396.1
JH373397.1	NW_003726317.1	chrUn_JH373397	JH373397.1	JH373397.1
JH373398.1	NW_003726318.1	chrUn_JH373398	JH373398.1	JH373398.1
JH373399.1	NW_003726319.1	chrUn_JH373399	JH373399.1	JH373399.1
JH373400.1	NW_003726320.1	chrUn_JH373400	JH373400.1	JH373400.1
JH373401.1	NW_003726321.1	chrUn_JH373401	JH373401.1	JH373401.1
JH373402.1	NW_003726323.1	chrUn_JH373402	JH373402.1	JH373402.1
JH373403.1	NW_003726327.1	chrUn_JH373403	JH373403.1	JH373403.1
JH373404.1	NW_003726329.1	chrUn_JH373404	JH373404.1	JH373404.1
JH373405.1	NW_003726330.1	chrUn_JH373405	JH373405.1	JH373405.1
JH373406.1	NW_003726332.1	chrUn_JH373406	JH373406.1	JH373406.1
JH373407.1	NW_003726333.1	chrUn_JH373407	JH373407.1	JH373407.1
JH373408.1	NW_003726334.1	chrUn_JH373408	JH373408.1	JH373408.1
JH373409.1	NW_003726335.1	chrUn_JH373409	JH373409.1	JH373409.1
JH373410.1	NW_003726337.1	chrUn_JH373410	JH373410.1	JH373410.1
JH373411.1	NW_003726338.1	chrUn_JH373411	JH373411.1	JH373411.1
JH373412.1	NW_003726339.1	chrUn_JH373412	JH373412.1	JH373412.1
JH373413.1	NW_003726340.1	chrUn_JH373413	JH373413.1	JH373413.1
JH373414.1	NW_003726342.1	chrUn_JH373414	JH373414.1	JH373414.1
JH373415.1	NW_003726343.1	chrUn_JH373415	JH373415.1	JH373415.1
JH373416.1	NW_003726345.1	chrUn_JH373416	JH373416.1	JH373416.1
JH373417.1	NW_003726346.1	chrUn_JH373417	JH373417.1	JH373417.1
JH373418.1	NW_003726348.1	chrUn_JH373418	JH373418.1	JH373418.1
JH373419.1	NW_003726349.1	chrUn_JH373419	JH373419.1	JH373419.1
JH373420.1	NW_003726350.1	chrUn_JH373420	JH373420.1	JH373420.1
JH373421.1	NW_003726351.1	chrUn_JH373421	JH373421.1	JH373421.1
JH373422.1	NW_003726352.1	chrUn_JH373422	JH373422.1	JH373422.1
JH373423.1	NW_003726353.1	chrUn_JH373423	JH373423.1	JH373423.1
JH373424.1	NW_003726354.1	chrUn_JH373424	JH373424.1	JH373424.1
JH373425.1	NW_003726356.1	chrUn_JH373425	JH373425.1	JH373425.1
JH373426.1	NW_003726358.1	chrUn_JH373426	JH373426.1	JH373426.1
JH373427.1	NW_003726359.1	chrUn_JH373427	JH373427.1	JH373427.1
JH373428.1	NW_003726360.1	chrUn_JH373428	JH373428.1	JH373428.1
JH373429.1	NW_003726361.1	chrUn_JH373429	JH373429.1	JH373429.1
JH373430.1	NW_003726362.1	chrUn_JH373430	JH373430.1	JH373430.1
JH373431.1	NW_003726363.1	chrUn_JH373431	JH373431.1	JH373431.1
JH373432.1	NW_003726364.1	chrUn_JH373432	JH373432.1	JH373432.1
JH373433.1	NW_003726365.1	chrUn_JH373433	JH373433.1	JH373433.1
JH373434.1	NW_003726366.1	chrUn_JH373434	JH373434.1	JH373434.1
JH373435.1	NW_003726367.1	chrUn_JH373435	JH373435.1	JH373435.1
JH373436.1	NW_003726368.1	chrUn_JH373436	JH373436.1	JH373436.1
JH373437.1	NW_003726369.1	chrUn_JH373437	JH373437.1	JH373437.1
JH373438.1	NW_003726371.1	chrUn_JH373438	JH373438.1	JH373438.1
JH373439.1	NW_003726372.1	chrUn_JH373439	JH373439.1	JH373439.1
JH373440.1	NW_003726373.1	chrUn_JH373440	JH373440.1	JH373440.1
JH373441.1	NW_003726374.1	chrUn_JH373441	JH373441.1	JH373441.1
JH373442.1	NW_003726375.1	chrUn_JH373442	JH373442.1	JH373442.1
JH373443.1	NW_003726377.1	chrUn_JH373443	JH373443.1	JH373443.1
JH373444.1	NW_003726379.1	chrUn_JH373444	JH373444.1	JH373444.1
JH373445.1	NW_003726380.1	chrUn_JH373445	JH373445.1	JH373445.1
JH373446.1	NW_003726381.1	chrUn_JH373446	JH373446.1	JH373446.1
JH373447.1	NW_003726383.1	chrUn_JH373447	JH373447.1	JH373447.1
JH373448.1	NW_003726384.1	chrUn_JH373448	JH373448.1	JH373448.1
JH373449.1	NW_003726386.1	chrUn_JH373449	JH373449.1	JH373449.1
JH373450.1	NW_003726387.1	chrUn_JH373450	JH373450.1	JH373450.1
JH373451.1	NW_003726388.1	chrUn_JH373451	JH373451.1	JH373451.1
JH373452.1	NW_003726389.1	chrUn_JH373452	JH373452.1	JH373452.1
JH373453.1	NW_003726390.1	chrUn_JH373453	JH373453.1	JH373453.1
JH373454.1	NW_003726391.1	chrUn_JH373454	JH373454.1	JH373454.1
JH373455.1	NW_003726393.1	chrUn_JH373455	JH373455.1	JH373455.1
JH373456.1	NW_003726394.1	chrUn_JH373456	JH373456.1	JH373456.1
JH373457.1	NW_003726396.1	chrUn_JH373457	JH373457.1	JH373457.1
JH373458.1	NW_003726397.1	chrUn_JH373458	JH373458.1	JH373458.1
JH373459.1	NW_003726399.1	chrUn_JH373459	JH373459.1	JH373459.1
JH373460.1	NW_003726400.1	chrUn_JH373460	JH373460.1	JH373460.1
JH373461.1	NW_003726401.1	chrUn_JH373461	JH373461.1	JH373461.1
JH373462.1	NW_003726402.1	chrUn_JH373462	JH373462.1	JH373462.1
JH373463.1	NW_003726403.1	chrUn_JH373463	JH373463.1	JH373463.1
JH373464.1	NW_003726406.1	chrUn_JH373464	JH373464.1	JH373464.1
JH373465.1	NW_003726407.1	chrUn_JH373465	JH373465.1	JH373465.1
JH373466.1	NW_003726409.1	chrUn_JH373466	JH373466.1	JH373466.1
JH373467.1	NW_003726410.1	chrUn_JH373467	JH373467.1	JH373467.1
JH373468.1	NW_003726411.1	chrUn_JH373468	JH373468.1	JH373468.1
JH373469.1	NW_003726413.1	chrUn_JH373469	JH373469.1	JH373469.1
JH373470.1	NW_003726414.1	chrUn_JH373470	JH373470.1	JH373470.1
JH373471.1	NW_003726416.1	chrUn_JH373471	JH373471.1	JH373471.1
JH373472.1	NW_003726417.1	chrUn_JH373472	JH373472.1	JH373472.1
JH373473.1	NW_003726419.1	chrUn_JH373473	JH373473.1	JH373473.1
JH373474.1	NW_003726420.1	chrUn_JH373474	JH373474.1	JH373474.1
JH373475.1	NW_003726422.1	chrUn_JH373475	JH373475.1	JH373475.1
JH373476.1	NW_003726423.1	chrUn_JH373476	JH373476.1	JH373476.1
JH373477.1	NW_003726424.1	chrUn_JH373477	JH373477.1	JH373477.1
JH373478.1	NW_003726425.1	chrUn_JH373478	JH373478.1	JH373478.1
JH373479.1	NW_003726426.1	chrUn_JH373479	JH373479.1	JH373479.1
JH373480.1	NW_003726428.1	chrUn_JH373480	JH373480.1	JH373480.1
JH373481.1	NW_003726429.1	chrUn_JH373481	JH373481.1	JH373481.1
JH373482.1	NW_003726430.1	chrUn_JH373482	JH373482.1	JH373482.1
JH373483.1	NW_003726431.1	chrUn_JH373483	JH373483.1	JH373483.1
JH373484.1	NW_003726432.1	chrUn_JH373484	JH373484.1	JH373484.1
JH373485.1	NW_003726435.1	chrUn_JH373485	JH373485.1	JH373485.1
JH373486.1	NW_003726436.1	chrUn_JH373486	JH373486.1	JH373486.1
JH373487.1	NW_003726437.1	chrUn_JH373487	JH373487.1	JH373487.1
JH373488.1	NW_003726438.1	chrUn_JH373488	JH373488.1	JH373488.1
JH373489.1	NW_003726439.1	chrUn_JH373489	JH373489.1	JH373489.1
JH373490.1	NW_003726441.1	chrUn_JH373490	JH373490.1	JH373490.1
JH373491.1	NW_003726442.1	chrUn_JH373491	JH373491.1	JH373491.1
JH373492.1	NW_003726443.1	chrUn_JH373492	JH373492.1	JH373492.1
JH373493.1	NW_003726444.1	chrUn_JH373493	JH373493.1	JH373493.1
JH373494.1	NW_003726445.1	chrUn_JH373494	JH373494.1	JH373494.1
JH373495.1	NW_003726446.1	chrUn_JH373495	JH373495.1	JH373495.1
JH373496.1	NW_003726447.1	chrUn_JH373496	JH373496.1	JH373496.1
JH373497.1	NW_003726450.1	chrUn_JH373497	JH373497.1	JH373497.1
JH373498.1	NW_003726451.1	chrUn_JH373498	JH373498.1	JH373498.1
JH373499.1	NW_003726452.1	chrUn_JH373499	JH373499.1	JH373499.1
JH373500.1	NW_003726453.1	chrUn_JH373500	JH373500.1	JH373500.1
JH373501.1	NW_003726454.1	chrUn_JH373501	JH373501.1	JH373501.1
JH373502.1	NW_003726455.1	chrUn_JH373502	JH373502.1	JH373502.1
JH373503.1	NW_003726456.1	chrUn_JH373503	JH373503.1	JH373503.1
JH373504.1	NW_003726457.1	chrUn_JH373504	JH373504.1	JH373504.1
JH373505.1	NW_003726458.1	chrUn_JH373505	JH373505.1	JH373505.1
JH373506.1	NW_003726460.1	chrUn_JH373506	JH373506.1	JH373506.1
JH373507.1	NW_003726461.1	chrUn_JH373507	JH373507.1	JH373507.1
JH373508.1	NW_003726464.1	chrUn_JH373508	JH373508.1	JH373508.1
JH373509.1	NW_003726465.1	chrUn_JH373509	JH373509.1	JH373509.1
JH373510.1	NW_003726466.1	chrUn_JH373510	JH373510.1	JH373510.1
JH373511.1	NW_003726467.1	chrUn_JH373511	JH373511.1	JH373511.1
JH373512.1	NW_003726468.1	chrUn_JH373512	JH373512.1	JH373512.1
JH373513.1	NW_003726469.1	chrUn_JH373513	JH373513.1	JH373513.1
JH373514.1	NW_003726470.1	chrUn_JH373514	JH373514.1	JH373514.1
JH373515.1	NW_003726471.1	chrUn_JH373515	JH373515.1	JH373515.1
JH373516.1	NW_003726473.1	chrUn_JH373516	JH373516.1	JH373516.1
JH373517.1	NW_003726474.1	chrUn_JH373517	JH373517.1	JH373517.1
JH373518.1	NW_003726476.1	chrUn_JH373518	JH373518.1	JH373518.1
JH373519.1	NW_003726477.1	chrUn_JH373519	JH373519.1	JH373519.1
JH373520.1	NW_003726479.1	chrUn_JH373520	JH373520.1	JH373520.1
JH373521.1	NW_003726480.1	chrUn_JH373521	JH373521.1	JH373521.1
JH373522.1	NW_003726482.1	chrUn_JH373522	JH373522.1	JH373522.1
JH373523.1	NW_003726484.1	chrUn_JH373523	JH373523.1	JH373523.1
JH373524.1	NW_003726485.1	chrUn_JH373524	JH373524.1	JH373524.1
JH373525.1	NW_003726486.1	chrUn_JH373525	JH373525.1	JH373525.1
JH373526.1	NW_003726489.1	chrUn_JH373526	JH373526.1	JH373526.1
JH373527.1	NW_003726490.1	chrUn_JH373527	JH373527.1	JH373527.1
JH373528.1	NW_003726491.1	chrUn_JH373528	JH373528.1	JH373528.1
JH373529.1	NW_003726492.1	chrUn_JH373529	JH373529.1	JH373529.1
JH373530.1	NW_003726493.1	chrUn_JH373530	JH373530.1	JH373530.1
JH373531.1	NW_003726494.1	chrUn_JH373531	JH373531.1	JH373531.1
JH373532.1	NW_003726495.1	chrUn_JH373532	JH373532.1	JH373532.1
JH373533.1	NW_003726500.1	chrUn_JH373533	JH373533.1	JH373533.1
JH373534.1	NW_003726501.1	chrUn_JH373534	JH373534.1	JH373534.1
JH373535.1	NW_003726502.1	chrUn_JH373535	JH373535.1	JH373535.1
JH373536.1	NW_003726503.1	chrUn_JH373536	JH373536.1	JH373536.1
JH373537.1	NW_003726504.1	chrUn_JH373537	JH373537.1	JH373537.1
JH373538.1	NW_003726507.1	chrUn_JH373538	JH373538.1	JH373538.1
JH373539.1	NW_003726509.1	chrUn_JH373539	JH373539.1	JH373539.1
JH373540.1	NW_003726510.1	chrUn_JH373540	JH373540.1	JH373540.1
JH373541.1	NW_003726512.1	chrUn_JH373541	JH373541.1	JH373541.1
JH373542.1	NW_003726513.1	chrUn_JH373542	JH373542.1	JH373542.1
JH373543.1	NW_003726515.1	chrUn_JH373543	JH373543.1	JH373543.1
JH373544.1	NW_003726516.1	chrUn_JH373544	JH373544.1	JH373544.1
JH373545.1	NW_003726517.1	chrUn_JH373545	JH373545.1	JH373545.1
JH373546.1	NW_003726518.1	chrUn_JH373546	JH373546.1	JH373546.1
JH373547.1	NW_003726519.1	chrUn_JH373547	JH373547.1	JH373547.1
JH373548.1	NW_003726521.1	chrUn_JH373548	JH373548.1	JH373548.1
JH373549.1	NW_003726522.1	chrUn_JH373549	JH373549.1	JH373549.1
JH373550.1	NW_003726523.1	chrUn_JH373550	JH373550.1	JH373550.1
JH373551.1	NW_003726524.1	chrUn_JH373551	JH373551.1	JH373551.1
JH373552.1	NW_003726525.1	chrUn_JH373552	JH373552.1	JH373552.1
JH373553.1	NW_003726526.1	chrUn_JH373553	JH373553.1	JH373553.1
JH373554.1	NW_003726527.1	chrUn_JH373554	JH373554.1	JH373554.1
JH373555.1	NW_003726528.1	chrUn_JH373555	JH373555.1	JH373555.1
JH373556.1	NW_003726530.1	chrUn_JH373556	JH373556.1	JH373556.1
JH373557.1	NW_003726532.1	chrUn_JH373557	JH373557.1	JH373557.1
JH373558.1	NW_003726533.1	chrUn_JH373558	JH373558.1	JH373558.1
JH373559.1	NW_003726535.1	chrUn_JH373559	JH373559.1	JH373559.1
JH373560.1	NW_003726536.1	chrUn_JH373560	JH373560.1	JH373560.1
JH373561.1	NW_003726537.1	chrUn_JH373561	JH373561.1	JH373561.1
JH373562.1	NW_003726538.1	chrUn_JH373562	JH373562.1	JH373562.1
JH373563.1	NW_003726540.1	chrUn_JH373563	JH373563.1	JH373563.1
JH373564.1	NW_003726541.1	chrUn_JH373564	JH373564.1	JH373564.1
JH373565.1	NW_003726542.1	chrUn_JH373565	JH373565.1	JH373565.1
JH373566.1	NW_003726543.1	chrUn_JH373566	JH373566.1	JH373566.1
JH373567.1	NW_003726544.1	chrUn_JH373567	JH373567.1	JH373567.1
JH373568.1	NW_003726545.1	chrUn_JH373568	JH373568.1	JH373568.1
JH373569.1	NW_003726546.1	chrUn_JH373569	JH373569.1	JH373569.1
JH373570.1	NW_003726548.1	chrUn_JH373570	JH373570.1	JH373570.1
JH373571.1	NW_003726551.1	chrUn_JH373571	JH373571.1	JH373571.1
JH373572.1	NW_003726552.1	chrUn_JH373572	JH373572.1	JH373572.1
JH373573.1	NW_003726553.1	chrUn_JH373573	JH373573.1	JH373573.1
JH373574.1	NW_003726556.1	chrUn_JH373574	JH373574.1	JH373574.1
JH373575.1	NW_003726557.1	chrUn_JH373575	JH373575.1	JH373575.1
JH373576.1	NW_003726558.1	chrUn_JH373576	JH373576.1	JH373576.1
JH373577.1	NW_003726560.1	chrUn_JH373577	JH373577.1	JH373577.1
JH373578.1	NW_003726561.1	chrUn_JH373578	JH373578.1	JH373578.1
JH373579.1	NW_003726562.1	chrUn_JH373579	JH373579.1	JH373579.1
JH373580.1	NW_003726563.1	chrUn_JH373580	JH373580.1	JH373580.1
JH373581.1	NW_003726565.1	chrUn_JH373581	JH373581.1	JH373581.1
JH373582.1	NW_003726566.1	chrUn_JH373582	JH373582.1	JH373582.1
JH373583.1	NW_003726567.1	chrUn_JH373583	JH373583.1	JH373583.1
JH373584.1	NW_003726568.1	chrUn_JH373584	JH373584.1	JH373584.1
JH373585.1	NW_003726569.1	chrUn_JH373585	JH373585.1	JH373585.1
JH373586.1	NW_003726570.1	chrUn_JH373586	JH373586.1	JH373586.1
JH373587.1	NW_003726571.1	chrUn_JH373587	JH373587.1	JH373587.1
JH373588.1	NW_003726572.1	chrUn_JH373588	JH373588.1	JH373588.1
JH373589.1	NW_003726574.1	chrUn_JH373589	JH373589.1	JH373589.1
JH373590.1	NW_003726575.1	chrUn_JH373590	JH373590.1	JH373590.1
JH373591.1	NW_003726576.1	chrUn_JH373591	JH373591.1	JH373591.1
JH373592.1	NW_003726577.1	chrUn_JH373592	JH373592.1	JH373592.1
JH373593.1	NW_003726578.1	chrUn_JH373593	JH373593.1	JH373593.1
JH373594.1	NW_003726580.1	chrUn_JH373594	JH373594.1	JH373594.1
JH373595.1	NW_003726581.1	chrUn_JH373595	JH373595.1	JH373595.1
JH373596.1	NW_003726582.1	chrUn_JH373596	JH373596.1	JH373596.1
JH373597.1	NW_003726583.1	chrUn_JH373597	JH373597.1	JH373597.1
JH373598.1	NW_003726585.1	chrUn_JH373598	JH373598.1	JH373598.1
JH373599.1	NW_003726587.1	chrUn_JH373599	JH373599.1	JH373599.1
JH373600.1	NW_003726588.1	chrUn_JH373600	JH373600.1	JH373600.1
JH373601.1	NW_003726589.1	chrUn_JH373601	JH373601.1	JH373601.1
JH373602.1	NW_003726590.1	chrUn_JH373602	JH373602.1	JH373602.1
JH373603.1	NW_003726591.1	chrUn_JH373603	JH373603.1	JH373603.1
JH373604.1	NW_003726593.1	chrUn_JH373604	JH373604.1	JH373604.1
JH373605.1	NW_003726594.1	chrUn_JH373605	JH373605.1	JH373605.1
JH373606.1	NW_003726596.1	chrUn_JH373606	JH373606.1	JH373606.1
JH373607.1	NW_003726598.1	chrUn_JH373607	JH373607.1	JH373607.1
JH373608.1	NW_003726599.1	chrUn_JH373608	JH373608.1	JH373608.1
JH373609.1	NW_003726600.1	chrUn_JH373609	JH373609.1	JH373609.1
JH373610.1	NW_003726601.1	chrUn_JH373610	JH373610.1	JH373610.1
JH373611.1	NW_003726603.1	chrUn_JH373611	JH373611.1	JH373611.1
JH373612.1	NW_003726604.1	chrUn_JH373612	JH373612.1	JH373612.1
JH373613.1	NW_003726605.1	chrUn_JH373613	JH373613.1	JH373613.1
JH373614.1	NW_003726606.1	chrUn_JH373614	JH373614.1	JH373614.1
JH373615.1	NW_003726608.1	chrUn_JH373615	JH373615.1	JH373615.1
JH373616.1	NW_003726609.1	chrUn_JH373616	JH373616.1	JH373616.1
JH373617.1	NW_003726610.1	chrUn_JH373617	JH373617.1	JH373617.1
JH373618.1	NW_003726611.1	chrUn_JH373618	JH373618.1	JH373618.1
JH373619.1	NW_003726612.1	chrUn_JH373619	JH373619.1	JH373619.1
JH373620.1	NW_003726614.1	chrUn_JH373620	JH373620.1	JH373620.1
JH373621.1	NW_003726615.1	chrUn_JH373621	JH373621.1	JH373621.1
JH373622.1	NW_003726616.1	chrUn_JH373622	JH373622.1	JH373622.1
JH373623.1	NW_003726617.1	chrUn_JH373623	JH373623.1	JH373623.1
JH373624.1	NW_003726620.1	chrUn_JH373624	JH373624.1	JH373624.1
JH373625.1	NW_003726622.1	chrUn_JH373625	JH373625.1	JH373625.1
JH373626.1	NW_003726623.1	chrUn_JH373626	JH373626.1	JH373626.1
JH373627.1	NW_003726624.1	chrUn_JH373627	JH373627.1	JH373627.1
JH373628.1	NW_003726625.1	chrUn_JH373628	JH373628.1	JH373628.1
JH373629.1	NW_003726626.1	chrUn_JH373629	JH373629.1	JH373629.1
JH373630.1	NW_003726628.1	chrUn_JH373630	JH373630.1	JH373630.1
JH373631.1	NW_003726629.1	chrUn_JH373631	JH373631.1	JH373631.1
JH373632.1	NW_003726630.1	chrUn_JH373632	JH373632.1	JH373632.1
JH373633.1	NW_003726631.1	chrUn_JH373633	JH373633.1	JH373633.1
JH373634.1	NW_003726633.1	chrUn_JH373634	JH373634.1	JH373634.1
JH373635.1	NW_003726634.1	chrUn_JH373635	JH373635.1	JH373635.1
JH373636.1	NW_003726635.1	chrUn_JH373636	JH373636.1	JH373636.1
JH373637.1	NW_003726637.1	chrUn_JH373637	JH373637.1	JH373637.1
JH373638.1	NW_003726638.1	chrUn_JH373638	JH373638.1	JH373638.1
JH373639.1	NW_003726639.1	chrUn_JH373639	JH373639.1	JH373639.1
JH373640.1	NW_003726640.1	chrUn_JH373640	JH373640.1	JH373640.1
JH373641.1	NW_003726643.1	chrUn_JH373641	JH373641.1	JH373641.1
JH373642.1	NW_003726644.1	chrUn_JH373642	JH373642.1	JH373642.1
JH373643.1	NW_003726645.1	chrUn_JH373643	JH373643.1	JH373643.1
JH373644.1	NW_003726647.1	chrUn_JH373644	JH373644.1	JH373644.1
JH373645.1	NW_003726648.1	chrUn_JH373645	JH373645.1	JH373645.1
JH373646.1	NW_003726649.1	chrUn_JH373646	JH373646.1	JH373646.1
JH373647.1	NW_003726651.1	chrUn_JH373647	JH373647.1	JH373647.1
JH373648.1	NW_003726652.1	chrUn_JH373648	JH373648.1	JH373648.1
JH373649.1	NW_003726654.1	chrUn_JH373649	JH373649.1	JH373649.1
